category	guide_form	raw_guide_entry	thesaurus_form
guide_strips_article	a rate of knots	a rate of knots, 296	at a rate of knots
guide_strips_article	about face	about face, 280	an about face
guide_strips_article	about turn	about turn, 280	an about turn
guide_strips_article	ace up your sleeve	ace up your sleeve, 230	an ace up your sleeve
guide_strips_article	ball's in your court	ball's in your court, 189	the ball's in your court
guide_strips_article	bigger they are, the harder they fall	bigger they are, the harder they fall, 24	the bigger they are, the harder they fall
guide_strips_article	bird has flown	bird has flown, 360	the bird has flown
guide_strips_article	bit	bit, 61	a bit
guide_strips_article	bit of	bit of, 61	a bit of
guide_strips_article	bit of fluff	bit of fluff, 344	a bit of fluff
guide_strips_article	bit of skirt	bit of skirt, 345	a bit of skirt
guide_strips_article	bitter pill	bitter pill, 109, 144	a bitter pill
guide_strips_article	body of water	body of water, 414	a body of water
guide_strips_article	bottom line	bottom line, 190, 213	the bottom line
guide_strips_article	brink	brink, 310	the brink
guide_strips_article	chop	chop, 221	the chop
guide_strips_article	cloud hanging over	cloud hanging over, 76	a cloud hanging over
guide_strips_article	coast is clear	coast is clear, 296	the coast is clear
guide_strips_article	cold fish	cold fish, 365	a cold fish
guide_strips_article	course of history	course of history, 311	the course of history
guide_strips_article	curtain rises on	curtain rises on, 243	the curtain rises on
guide_strips_article	damp squib	damp squib, 101	a damp squib
guide_strips_article	dark ages	dark ages, 151	the dark ages
guide_strips_article	departed	departed, 208	the departed
guide_strips_article	dregs	dregs, 332	the dregs
guide_strips_article	drop in the ocean	drop in the ocean, 12	a drop in the ocean
guide_strips_article	false dawn	false dawn, 75	a false dawn
guide_strips_article	fine line	fine line, 200	a fine line
guide_strips_article	fixture	fixture, 388	a fixture
guide_strips_article	foot in the door	foot in the door, 283	a foot in the door
guide_strips_article	friend of	friend of, 380	a friend of
guide_strips_article	full life	full life, 315	a full life
guide_strips_article	gap widens	gap widens, 196	the gap widens
guide_strips_article	ghost of a	ghost of a, 216	the ghost of a
guide_strips_article	glutton for	glutton for, 109	a glutton for
guide_strips_article	going concern	going concern, 263	a going concern
guide_strips_article	good innings	good innings, 227	a good innings
guide_strips_article	grass is always greener	grass is always greener, 367	the grass is always greener
guide_strips_article	gravy train	gravy train, 402	the gravy train
guide_strips_article	green light	green light, 263, 266	the green light
guide_strips_article	handful	handful, 260	a handful
guide_strips_article	helm	helm, 276, 298	the helm
guide_strips_article	hot contest	hot contest, 80	a hot contest
guide_strips_article	launching pad	launching pad, 266	a launching pad
guide_strips_article	lone wolf	lone wolf, 370	a lone wolf
guide_strips_article	long and the short of it	long and the short of it, 41	the long and the short of it
guide_strips_article	long shot	long shot, 233	a long shot
guide_strips_article	long way from being	long way from being, 195	a long way from being
guide_strips_article	long way off	long way off, 318	a long way off
guide_strips_article	name to conjure with	name to conjure with, 302	a name to conjure with
guide_strips_article	near miss	near miss, 233	a near miss
guide_strips_article	nearest thing to	nearest thing to, 194	the nearest thing to
guide_strips_article	open mind	open mind, 148	an open mind
guide_strips_article	open secret	open secret, 157	an open secret
guide_strips_article	outside world	outside world, 304	the outside world
guide_strips_article	penny drops	penny drops, 211	the penny drops
guide_strips_article	penny has dropped	penny has dropped, 351	the penny has dropped
guide_strips_article	place in the sun	place in the sun, 88	a place in the sun
guide_strips_article	red rag to a bull	red rag to a bull, 72	a red rag to a bull
guide_strips_article	rot set in	rot set in, 389	the rot set in
guide_strips_article	second string to your bow	second string to your bow, 236	a second string to your bow
guide_strips_article	shadow of	shadow of, 13	a shadow of
guide_strips_article	shiver down the spine	shiver down the spine, 84, 104	a shiver down the spine
guide_strips_article	shot in the dark	shot in the dark, 151, 153	a shot in the dark
guide_strips_article	show must go on	show must go on, 240	the show must go on
guide_strips_article	sky's the limit	sky's the limit, 45	the sky's the limit
guide_strips_article	snake in the grass	snake in the grass, 363	a snake in the grass
guide_strips_article	snip	snip, 60	a snip
guide_strips_article	soft touch	soft touch, 93	a soft touch
guide_strips_article	song and dance	song and dance, 240	a song and dance
guide_strips_article	sore point/spot	sore point/spot, 90	a sore point/spot
guide_strips_article	step at a time	step at a time, 272	a step at a time
guide_strips_article	step forward	step forward, 264	a step forward
guide_strips_article	stream of	stream of, 11	a stream of
guide_strips_article	thin end of the wedge	thin end of the wedge, 35	the thin end of the wedge
guide_strips_article	ticket to	ticket to, 282	a ticket to
guide_strips_article	weight off your shoulders	weight off your shoulders, 97	a weight off your shoulders
guide_strips_article	weight on your shoulders	weight on your shoulders, 96	a weight on your shoulders
guide_strips_article	wet blanket	wet blanket, 80	a wet blanket
guide_strips_article	whale of	whale of, 61	a whale of
guide_strips_article	wolf in sheep's clothing	wolf in sheep's clothing, 370	a wolf in sheep's clothing
guide_strips_article	wrong side of	wrong side of, 316	the wrong side of
guide_short_form	adhere	adhere, 35	adhere to
